tooth,surface,gender,T,R,R/T
11,m,men,26.8,18.2,67.9
11,m,women,25.7,17.0,66.1
11,d,men,26.5,17.3,65.3
11,d,women,25.4,16.3,64.2
12,m,men,25.6,17.2,67.2
12,m,women,24.6,16.3,66.3
12,d,men,25.8,17.2,66.7
12,d,women,24.7,16.3,66.0
13,m,men,30.2,20.8,68.9
13,m,women,28.1,19.3,68.7
13,d,men,29.7,20.4,68.7
13,d,women,27.0,18.5,68.5
14,m,men,23.9,15.6,65.3
14,m,women,22.8,14.7,64.5
14,d,men,23.7,15.6,65.8
14,d,women,22.9,15.0,65.5
15,m,men,23.7,15.5,65.4
15,m,women,22.5,14.5,64.4
15,d,men,23.6,15.4,65.3
15,d,women,22.3,14.3,64.1
16,m,men,21.7,14.5,66.8
16,m,women,20.4,13.6,66.7
16,d,men,22.3,13.4,60.1
16,d,women,20.8,12.1,58.2
17,m,men,21.8,14.9,68.3
17,m,women,20.4,13.8,67.6
17,d,men,20.8,12.9,62.0
17,d,women,20.0,12.3,61.5
21,m,men,26.7,18.1,67.8
21,m,women,26.7,17.0,63.7
21,d,men,26.5,17.3,65.3
21,d,women,25.8,16.4,63.6
22,m,men,25.4,17.1,67.3
22,m,women,24.5,16.2,66.1
22,d,men,26.0,17.3,66.5
22,d,women,24.7,16.3,66.0
23,m,men,30.1,20.6,68.4
23,m,women,28.1,19.4,69.0
23,d,men,29.8,20.2,67.8
23,d,women,27.8,18.9,68.0
24,m,men,24.0,15.4,64.2
24,m,women,22.4,14.3,63.8
24,d,men,23.7,15.5,65.4
24,d,women,22.4,14.6,65.2
25,m,men,23.8,15.6,65.5
25,m,women,22.2,14.2,64.0
25,d,men,23.8,15.5,65.1
25,d,women,22.3,14.5,65.0
26,m,men,21.6,14.4,66.7
26,m,women,20.6,13.5,65.5
26,d,men,21.6,13.1,60.6
26,d,women,20.2,11.9,58.9
27,m,men,21.5,14.5,67.4
27,m,women,19.9,13.2,66.3
27,d,men,20.4,13.0,63.7
27,d,women,19.3,11.9,61.7
31,m,men,23.4,16.1,68.8
31,m,women,22.4,15.1,67.4
31,d,men,23.3,16.1,69.1
31,d,women,22.4,15.1,67.4
32,m,men,25.1,17.9,71.3
32,m,women,24.2,17.0,70.2
32,d,men,25.1,17.2,68.5
32,d,women,24.0,16.2,67.5
33,m,men,28.6,20.7,72.4
33,m,women,26.8,19.1,71.3
33,d,men,28.8,19.6,68.1
33,d,women,26.6,18.2,68.4
34,m,men,24.8,17.5,70.6
34,m,women,24.0,16.7,69.6
34,d,men,24.7,17.2,69.6
34,d,women,23.9,16.4,68.6
35,m,men,24.5,17.7,72.2
35,m,women,23.5,16.9,71.9
35,d,men,24.4,16.0,65.6
35,d,women,23.5,16.2,68.9
36,m,men,23.1,16.4,71.0
36,m,women,22.2,15.9,71.6
36,d,men,22.4,14.9,66.5
36,d,women,21.3,14.2,66.7
37,m,men,22.7,16.1,70.9
37,m,women,21.9,15.5,70.8
37,d,men,21.8,14.2,65.1
37,d,women,21.1,13.8,65.4
41,m,men,23.4,16.3,69.7
41,m,women,22.5,15.4,68.4
41,d,men,24.4,15.9,65.2
41,d,women,22.5,15.1,67.1
42,m,men,25.2,18.2,72.2
42,m,women,24.0,17.1,71.2
42,d,men,25.3,17.1,67.6
42,d,women,24.1,16.2,67.2
43,m,men,28.7,21.1,73.5
43,m,women,26.5,19.2,72.5
43,d,men,28.5,19.6,68.8
43,d,women,26.6,18.0,67.7
44,m,men,24.6,17.4,70.7
44,m,women,23.9,16.8,70.3
44,d,men,24.6,17.2,69.9
44,d,women,23.9,16.5,69.0
45,m,men,24.5,17.7,72.2
45,m,women,23.5,16.9,71.9
45,d,men,24.3,17.1,70.4
45,d,women,23.6,16.5,69.9
46,m,men,23.2,16.6,71.6
46,m,women,22.5,16.0,71.1
46,d,men,22.5,14.9,66.2
46,d,women,21.6,14.3,66.2
47,m,men,22.7,16.0,70.5
47,m,women,22.0,15.6,70.9
47,d,men,22.0,14.4,65.5
47,d,women,21.1,13.9,65.9
