Task,Learner,Tuning,HPO,Criterion,Sampling,Factor,F1 Score,Precision,Recall,Accuracy,Brier Score,ROC AUC Score,Confusion Matrix,Best Threshold
pocketclosureinf,xgb,holdout,hebo,f1,,,0.5386,0.6535,0.458,0.7031,0.197,0.7336,"[[ 660  781]
 [ 350 2018]]",
pocketclosureinf,xgb,holdout,hebo,f1,,,0.5382,0.6441,0.4622,0.6999,0.1963,0.735,"[[ 666  775]
 [ 368 2000]]",
pocketclosureinf,xgb,holdout,hebo,brier_score,,,0.537,0.665,0.4504,0.7062,0.1961,0.7389,"[[ 649  792]
 [ 327 2041]]",
pocketclosureinf,xgb,holdout,hebo,brier_score,,,0.5153,0.6776,0.4157,0.7041,0.1965,0.7372,"[[ 599  842]
 [ 285 2083]]",
pocketclosureinf,xgb,holdout,rs,f1,,,0.5444,0.6594,0.4636,0.7065,0.1965,0.735,"[[ 668  773]
 [ 345 2023]]",0.5
pocketclosureinf,xgb,holdout,rs,f1,,,0.529,0.6511,0.4455,0.6999,0.1965,0.7341,"[[ 642  799]
 [ 344 2024]]",0.5
pocketclosureinf,xgb,holdout,rs,brier_score,,,0.5462,0.6647,0.4636,0.7086,0.1966,0.7344,"[[ 668  773]
 [ 337 2031]]",
pocketclosureinf,xgb,holdout,rs,brier_score,,,0.529,0.6511,0.4455,0.6999,0.1965,0.7341,"[[ 642  799]
 [ 344 2024]]",
pocketclosureinf,lr,holdout,hebo,f1,,,0.6196,0.5553,0.7009,0.6745,0.21,0.7421,"[[1010  431]
 [ 809 1559]]",
pocketclosureinf,lr,holdout,hebo,f1,,,0.6239,0.5531,0.7155,0.6737,0.2106,0.7433,"[[1031  410]
 [ 833 1535]]",
pocketclosureinf,lr,holdout,hebo,brier_score,,,0.5274,0.6883,0.4275,0.7102,0.1947,0.7418,"[[ 616  825]
 [ 279 2089]]",
pocketclosureinf,lr,holdout,hebo,brier_score,,,0.5418,0.6721,0.4539,0.7096,0.1939,0.7433,"[[ 654  787]
 [ 319 2049]]",
pocketclosureinf,lr,holdout,rs,f1,,,0.62,0.5559,0.7009,0.675,0.2103,0.7414,"[[1010  431]
 [ 807 1561]]",0.5
pocketclosureinf,lr,holdout,rs,f1,,,0.6239,0.5531,0.7155,0.6737,0.2106,0.7433,"[[1031  410]
 [ 833 1535]]",0.5
pocketclosureinf,lr,holdout,rs,brier_score,,,0.5024,0.6801,0.3983,0.7015,0.1979,0.7326,"[[ 574  867]
 [ 270 2098]]",
pocketclosureinf,lr,holdout,rs,brier_score,,,0.535,0.6825,0.44,0.7107,0.1935,0.7452,"[[ 634  807]
 [ 295 2073]]",
pocketclosureinf,rf,holdout,hebo,f1,,,0.6121,0.5234,0.737,0.6466,0.2211,0.7303,"[[1062  379]
 [ 967 1401]]",
pocketclosureinf,rf,holdout,hebo,f1,,,0.6163,0.5314,0.7335,0.6545,0.2137,0.7383,"[[1057  384]
 [ 932 1436]]",
pocketclosureinf,rf,holdout,hebo,brier_score,,,0.5285,0.6681,0.4372,0.7049,0.1958,0.7404,"[[ 630  811]
 [ 313 2055]]",
pocketclosureinf,rf,holdout,hebo,brier_score,,,0.4945,0.6755,0.39,0.6983,0.1964,0.7385,"[[ 562  879]
 [ 270 2098]]",
pocketclosureinf,rf,holdout,rs,f1,,,0.6152,0.542,0.7113,0.6634,0.2095,0.7368,"[[1025  416]
 [ 866 1502]]",0.5
pocketclosureinf,rf,holdout,rs,f1,,,0.6152,0.542,0.7113,0.6634,0.2103,0.7346,"[[1025  416]
 [ 866 1502]]",0.5
pocketclosureinf,rf,holdout,rs,brier_score,,,0.4901,0.6735,0.3851,0.6968,0.1981,0.7354,"[[ 555  886]
 [ 269 2099]]",
pocketclosureinf,rf,holdout,rs,brier_score,,,0.4894,0.6752,0.3838,0.697,0.1979,0.735,"[[ 553  888]
 [ 266 2102]]",
pocketclosureinf,mlp,holdout,hebo,f1,,,0.6014,0.4634,0.8563,0.5705,0.2716,0.7251,"[[1234  207]
 [1429  939]]",
pocketclosureinf,mlp,holdout,hebo,f1,,,0.6186,0.5389,0.7259,0.6613,0.2093,0.7352,"[[1046  395]
 [ 895 1473]]",
pocketclosureinf,mlp,holdout,rs,f1,,,0.5976,0.5428,0.6648,0.6613,0.2116,0.6985,"[[ 958  483]
 [ 807 1561]]",
pocketclosureinf,mlp,holdout,rs,f1,,,0.6083,0.529,0.7155,0.6514,0.2164,0.6997,"[[1031  410]
 [ 918 1450]]",
pocketclosureinf,mlp,holdout,rs,brier_score,,,0.5292,0.6485,0.4469,0.6991,0.1976,0.7328,"[[ 644  797]
 [ 349 2019]]",
pocketclosureinf,mlp,holdout,rs,brier_score,,,0.5437,0.6601,0.4622,0.7065,0.1946,0.7441,"[[ 666  775]
 [ 343 2025]]",
